risk,return,method
0.0007987285182071979,0.0021700602514379023,nsga2
0.0008000853848476926,0.002178528269403135,nsga2
0.0008185511052027995,0.0022032417731258757,epsilon_constraint
0.0008696111171473996,0.002233067419972783,nsga2
0.0008741144085520151,0.003142632315146979,nsga2
0.000883506598913687,0.0032642176131008607,nsga2
0.0008836900379011858,0.004092230049843643,nsga2
0.0008874097529032068,0.004258719380046693,nsga2
0.0009051701208489069,0.004491608989912256,nsga2
0.0009054648916407917,0.004494336561607002,weighted_sum
0.0009234693771758399,0.0046355448075589365,nsga2
0.0009606297489353239,0.004847644894196548,nsga2
0.0009653985973928644,0.004870688593833756,epsilon_constraint
0.0009853223039904086,0.004973344094259447,nsga2
0.0009921748194453956,0.005059146348628335,nsga2
0.0010228677551753825,0.005234685937118246,nsga2
0.00103116855208876,0.005267798530395801,nsga2
0.0010319536592262835,0.005478109335754915,nsga2
0.0010323249774860175,0.00549100863585176,weighted_sum
0.0010341690589153827,0.005509737673318717,weighted_sum
0.0010639898883678424,0.0055986178584422,nsga2
0.001153145240512434,0.005712575445632506,nsga2
0.0011830147356983712,0.005739889262204167,nsga2
0.00119852765669128,0.0064969689868683515,nsga2
0.0011986824812412478,0.006525273826665161,nsga2
0.001207668961460358,0.006717369507752415,nsga2
0.001214362479257658,0.006787185693062659,nsga2
0.001230212513532869,0.0069076776252568976,nsga2
0.0012395191532562902,0.006964177611978654,weighted_sum
0.0012399452400271348,0.0069666018108380575,nsga2
0.0012595148767984557,0.007066945294497563,epsilon_constraint
0.0012613276458841357,0.007075360652644972,weighted_sum
0.00126227335452683,0.007079702685274466,nsga2
0.0012766556416948112,0.0071421470800051455,nsga2
0.001293117688478406,0.007206915940135596,weighted_sum
0.0012946752746727293,0.007212740912900365,nsga2
0.001325130480293004,0.007318381462874441,nsga2
0.0013728459296916081,0.007460898605634099,nsga2
0.0014060945431529812,0.007548856793797944,epsilon_constraint
0.0014061784931970057,0.007549069578024176,nsga2
0.0014096174616107173,0.007557749498405762,weighted_sum
0.0014365970697419012,0.007623528619377499,nsga2
0.0014919122118362297,0.007747624728913817,nsga2
0.0015164569158736662,0.0077989072921588794,weighted_sum
0.0015494989581901892,0.007864912036687141,nsga2
0.0015528572256525615,0.00787144312818238,epsilon_constraint
0.0016859002718507309,0.008109038855864836,weighted_sum
0.0016996575106948183,0.0081316389050872,epsilon_constraint
0.0017074431536475713,0.00814429162061905,nsga2
0.0017579582175479126,0.00822413572903244,nsga2
0.0017770874125929686,0.00825342437041515,nsga2
0.0018457498770853864,0.008354754776514026,nsga2
0.0018471573800836482,0.00835677420362334,epsilon_constraint
0.001859205110359736,0.008373970920186692,nsga2
0.0019168836563985595,0.008454208608678156,nsga2
0.001989964881945609,0.008551378310422268,nsga2
0.0020420321165860195,0.00861789412829984,nsga2
0.0020665742029242007,0.008648533806311288,nsga2
0.0021406769334436243,0.008738508202478798,epsilon_constraint
0.0021465325366496154,0.008745464530111432,nsga2
0.002176591924621481,0.008780840951568837,nsga2
0.002213724344203826,0.008823799192640716,nsga2
0.0022814850181575893,0.008900213055340476,nsga2
0.002287464305682594,0.008906839598291406,epsilon_constraint
0.0023326249254411882,0.008956312312341515,nsga2
0.00238204731823874,0.009009337731731232,nsga2
0.0024835730263306527,0.00911489839356696,nsga2
0.00253345268168097,0.00916523123082546,nsga2
0.002581061273036854,0.009212402439714428,epsilon_constraint
0.0025864256615644936,0.009217666285961577,nsga2
0.0026519481470368075,0.009281157811288477,nsga2
0.0027116931398465122,0.009325348663799582,weighted_sum
0.002727871825075944,0.009352963591954054,epsilon_constraint
0.002777302679778682,0.009398758743670112,nsga2
0.002810888011827808,0.00944843406253602,nsga2
0.002845303302941959,0.009488114022903258,nsga2
0.002931025894048317,0.009536770321900005,nsga2
0.002961282428771474,0.009612905375001797,weighted_sum
0.0030215651305763183,0.00967323400952155,epsilon_constraint
0.0030679905682182325,0.009717922561754622,nsga2
0.0031403021616799856,0.009784817531831436,nsga2
0.0031962916084138414,0.009834586167153865,nsga2
0.003240065712933371,0.009872386386237591,nsga2
0.0033132890313492314,0.009933639812039452,nsga2
0.0033380738377336103,0.00995385321438751,nsga2
0.0033997451666344376,0.010003097049264956,nsga2
0.003433063726024393,0.010029111626795553,nsga2
0.003452663243199226,0.010044231364605654,weighted_sum
0.003461945433173067,0.010051345915545705,epsilon_constraint
0.0035066446937440376,0.01008520544499358,nsga2
0.0035270026520344824,0.01010041323124036,nsga2
0.0036020384545928895,0.010155379143275916,nsga2
0.003608751465357629,0.010160216651966805,epsilon_constraint
0.0036221758176074527,0.01016985254316668,nsga2
0.0036727683762685236,0.010205725293484548,nsga2
0.0037601947810307714,0.01026615796672167,nsga2
0.0038270013360243572,0.01031110202568444,nsga2
0.003860626708279561,0.010333344112030364,nsga2
0.003978419830190722,0.010409394592725706,nsga2
0.004044536716634682,0.010450893046879493,nsga2
0.004076729366880194,0.01047080916518168,nsga2
0.004149381058644822,0.010515091776482783,nsga2
0.0041712078246124,0.010528222225141116,nsga2
0.004272439011938811,0.010588127253414709,nsga2
0.004323907396062604,0.010617985924497047,nsga2
0.0044909799181683495,0.010655775980590842,nsga2
0.004583118647932671,0.01076282462582521,weighted_sum
0.004768301006834942,0.010861250000050525,weighted_sum
