risk,return,method
0.0006463458526008819,0.002849868835711014,weighted_sum
0.000647611194663602,0.0031356515250751207,weighted_sum
0.0006547147612456814,0.0034858130501321926,weighted_sum
0.000666298323037472,0.0038651857109945433,weighted_sum
0.0006846926550254058,0.004272033911461164,weighted_sum
0.0006894615914261512,0.004282190443124902,nsga2
0.0006909249828693125,0.004361397930362747,nsga2
0.0006920869466987269,0.0044194901687979226,nsga2
0.0006944621065815658,0.004436982192052053,nsga2
0.0006994191033181672,0.00448447349280048,nsga2
0.0007062849253454169,0.004640033597486725,nsga2
0.0007084642874023775,0.004646984193752676,weighted_sum
0.0007097576400119573,0.004679947582984017,nsga2
0.000713360237638194,0.004728762695859254,nsga2
0.0007200271340875061,0.004798765294405176,nsga2
0.0007248828361734182,0.004849801604191489,nsga2
0.0007272003090286792,0.004904756955430887,nsga2
0.0007320952941236811,0.00495144843006931,nsga2
0.0007362607073251343,0.004969321028759542,nsga2
0.000738012752350862,0.004990032000519843,weighted_sum
0.0007392323696539901,0.00503019217626444,nsga2
0.0007480080558556773,0.005102194339741359,nsga2
0.0007529366397304388,0.005133098294227801,nsga2
0.0007565766487963813,0.005198067854989406,nsga2
0.0007599451122878226,0.005224729638115942,nsga2
0.0007718079808954904,0.005252229631446294,nsga2
0.0007756940707956747,0.0053213079890312084,nsga2
0.0007800587885823391,0.005386351515708373,nsga2
0.0007848017484534207,0.005423082471526872,weighted_sum
0.0007870697742645664,0.005433781969282222,nsga2
0.0007885111094675237,0.005470714489311749,nsga2
0.0007910929714380659,0.005495498698197445,epsilon_constraint
0.000802074012392913,0.005527294502408289,nsga2
0.0008134067650885306,0.0055626957729465725,nsga2
0.0008153181921090201,0.005647593681091906,nsga2
0.0008228587511372714,0.00569586127310997,nsga2
0.0008324049461780896,0.005757555490251041,weighted_sum
0.0008429514509246697,0.005796493093582306,nsga2
0.0008469576659392289,0.0058161329476325236,nsga2
0.0008533035644959206,0.005889446927187122,epsilon_constraint
0.0008634280505073657,0.005931392444438148,nsga2
0.0008698969692414432,0.005958383265111005,nsga2
0.000880491371180926,0.006019641256483343,nsga2
0.0008867121014845202,0.006033416610377201,nsga2
0.0008914277079572695,0.00607478208263073,nsga2
0.0008958728843832805,0.006090906040648465,nsga2
0.000898456377473384,0.006126910509034046,weighted_sum
0.0009128984950452118,0.006163844841783153,nsga2
0.0009155462483216926,0.00621192585550811,epsilon_constraint
0.0009334132678417056,0.0062459572367169775,nsga2
0.0009355734994050686,0.006267349156119452,nsga2
0.0009437676058255387,0.00630843228079708,nsga2
0.0009493563616562802,0.006341654302297774,nsga2
0.0009603655081627058,0.006386710025815873,nsga2
0.000970258422969412,0.0064120368540559955,nsga2
0.0009778050280302812,0.006492773040141449,epsilon_constraint
0.000995043021180971,0.00652390024643036,nsga2
0.000998078898500443,0.0065648253045210575,nsga2
0.0009991186030085166,0.00657854123024429,weighted_sum
0.0010163745553252986,0.0065937308565764356,nsga2
0.0010234801170020842,0.006633408407042716,nsga2
0.0010372880508022332,0.006651525532977978,nsga2
0.0010400625526755826,0.00674109956710196,epsilon_constraint
0.0010521339504390677,0.006745805183810045,nsga2
0.0010645917451292761,0.006783976407613249,nsga2
0.0010709503430553797,0.006823814329789321,nsga2
0.0010769522739178003,0.006846354126714175,nsga2
0.0010856164559280759,0.006853051164413675,nsga2
0.0010905122621029646,0.006882531930598652,nsga2
0.0011023249026597282,0.006964194470688666,epsilon_constraint
0.00111897534777611,0.00699278058801597,nsga2
0.0011255521607494014,0.007041774343838475,weighted_sum
0.0011579733046190844,0.0070832167188960545,nsga2
0.001162259951029001,0.007128922869106475,nsga2
0.0011645804937236736,0.007160569880564248,epsilon_constraint
0.0011987095704437448,0.007173903028991428,nsga2
0.0012037825928445753,0.007235299492242483,nsga2
0.0012054265276898735,0.007248569697276186,nsga2
0.0012084816633475249,0.007281242077631771,weighted_sum
0.0012272570540333271,0.00732899316768645,epsilon_constraint
0.0012484257393031515,0.007336843942481162,nsga2
0.0012595211819844937,0.007357822946634306,nsga2
0.0012894877890000309,0.007477835956959338,epsilon_constraint
0.0013406191206318328,0.007590598227827759,weighted_sum
0.0013517232010421066,0.007613207129203177,epsilon_constraint
0.0014139725074804451,0.007738166921591857,epsilon_constraint
0.0014762215338564762,0.007854281067355319,epsilon_constraint
0.0015384861512148817,0.007962575669865338,epsilon_constraint
0.0015596817593577224,0.008001556336887143,weighted_sum
0.0016007374388217954,0.008067262038933263,epsilon_constraint
0.001662998441905497,0.008160032044120089,epsilon_constraint
0.001725262091161441,0.008262210113313781,epsilon_constraint
0.0017875274411916456,0.008353076768203802,epsilon_constraint
0.0018497968566346546,0.00843161355183592,epsilon_constraint
0.001912062231897265,0.00852485902824725,epsilon_constraint
0.0019266097926935678,0.008545254824012024,weighted_sum
0.001974330083731769,0.008603215453046145,epsilon_constraint
0.0020365918670651696,0.008683173100405336,epsilon_constraint
0.0025347880975952505,0.009228335728493242,weighted_sum
0.0036708739845094786,0.010174184231058373,weighted_sum
0.004668149939742634,0.01077246400008721,weighted_sum
0.004668628537593636,0.010772564000077402,weighted_sum
